date,property_type,asking_price,transaction_price,Rents - Industrial and commercial space ,Rents - Office space ,Rents - Rental housing units ,Rents - Retail space ,Acquisition of Swiss citizenship,Natural Change,Net migration,Switzerland - CHF - Call money rate (Tomorrow next) - 1 day,Origination - Relevant foreign currency positions,Origination - Securities portfolio,Origination - Money market transactions,Origination - Other,Origination - Monetary base,Utilisation - Banknotes in circulation,Utilisation - Sight deposit accounts of domestic banks,Utilisation - Monetary base,Seasonally adjusted - Monetary base,Level - Currency in circulation,Level - Deposits in transaction accounts,Level - Monetary aggregate M3,Banks in Switzerland - Total domestic and foreign - Total loans - Utilisation,Banks in Switzerland - Total domestic and foreign - Mortgage loans - Utilisation,"Value, in CHF millions - Gross domestic product",population,SFSO - Inflation according to the national consumer price index
2004-01-01,Apartment buildings,,80.4984665863478,103.26578428703017,106.49412787941095,112.5591306155973,107.75426860287168,35685.0,12902.0,40462.0,0.2825,86848.83333,7579.58333,22119.41667,74839.83333,41708.0,36263.91667,5444.08333,41708.0,41710.16667,33687.08333,93047.16667,572835.41667,733775.16667,508310.08333,501701.46634,7389625.0,0.8
2004-01-01,Privately owned apartments,122.51564526921092,109.6076464564208,103.26578428703017,106.49412787941095,112.5591306155973,107.75426860287168,35685.0,12902.0,40462.0,0.2825,86848.83333,7579.58333,22119.41667,74839.83333,41708.0,36263.91667,5444.08333,41708.0,41710.16667,33687.08333,93047.16667,572835.41667,733775.16667,508310.08333,501701.46634,7389625.0,0.8
2004-01-01,Single-family houses,112.42439345829396,104.8097385381745,103.26578428703017,106.49412787941095,112.5591306155973,107.75426860287168,35685.0,12902.0,40462.0,0.2825,86848.83333,7579.58333,22119.41667,74839.83333,41708.0,36263.91667,5444.08333,41708.0,41710.16667,33687.08333,93047.16667,572835.41667,733775.16667,508310.08333,501701.46634,7389625.0,0.8
2005-01-01,Apartment buildings,,85.82482565929338,103.80975892923531,106.88310246758013,116.84349312340095,104.88059386313597,38437.0,11779.0,36180.0,0.635,77276.0,5945.91667,21014.0,62364.5,41871.41667,37061.66667,4809.75,41871.41667,41876.75,34409.08333,96550.75,598483.75,778301.75,537468.91667,520819.42618,7437115.0,1.175
2005-01-01,Privately owned apartments,125.22696492026614,113.31855684677434,103.80975892923531,106.88310246758013,116.84349312340095,104.88059386313597,38437.0,11779.0,36180.0,0.635,77276.0,5945.91667,21014.0,62364.5,41871.41667,37061.66667,4809.75,41871.41667,41876.75,34409.08333,96550.75,598483.75,778301.75,537468.91667,520819.42618,7437115.0,1.175
2005-01-01,Single-family houses,113.6337473821883,107.87792419901382,103.80975892923531,106.88310246758013,116.84349312340095,104.88059386313597,38437.0,11779.0,36180.0,0.635,77276.0,5945.91667,21014.0,62364.5,41871.41667,37061.66667,4809.75,41871.41667,41876.75,34409.08333,96550.75,598483.75,778301.75,537468.91667,520819.42618,7437115.0,1.175
2006-01-01,Apartment buildings,,89.33528504082676,104.80639543977111,107.70811710257253,120.65254049014216,107.2002993571972,46711.0,13088.0,39368.0,1.33167,76349.0,5258.75,20786.33333,59270.41667,43123.66667,38110.08333,5013.58333,43123.66667,43128.0,35235.25,97889.0,614317.16667,842881.58333,580605.66667,554078.31005,7483934.0,1.075
2006-01-01,Privately owned apartments,126.99066944830034,120.0759828258568,104.80639543977111,107.70811710257253,120.65254049014216,107.2002993571972,46711.0,13088.0,39368.0,1.33167,76349.0,5258.75,20786.33333,59270.41667,43123.66667,38110.08333,5013.58333,43123.66667,43128.0,35235.25,97889.0,614317.16667,842881.58333,580605.66667,554078.31005,7483934.0,1.075
2006-01-01,Single-family houses,116.45865743403832,113.34267726709281,104.80639543977111,107.70811710257253,120.65254049014216,107.2002993571972,46711.0,13088.0,39368.0,1.33167,76349.0,5258.75,20786.33333,59270.41667,43123.66667,38110.08333,5013.58333,43123.66667,43128.0,35235.25,97889.0,614317.16667,842881.58333,580605.66667,554078.31005,7483934.0,1.075
2007-01-01,Apartment buildings,,93.1156652380285,108.29187173896004,107.14810291323266,123.73518946777058,106.8057709731714,43889.0,13405.0,75459.0,2.165,80326.91667,4466.5,21748.91667,62344.58333,44197.75,38943.16667,5254.58333,44197.75,44198.08333,35955.75,92163.91667,629196.41667,951046.25,645742.16667,589474.12521,7551117.0,0.73333
